City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Boden,SE,65.8252,21.6886,32.0,95,62,1.86,broken clouds
315,Aksu,CN,41.1231,80.2644,54.23,17,3,6.67,clear sky
316,Yatou,CN,37.15,122.3833,48.33,27,0,6.13,clear sky
317,Matara,LK,5.9485,80.5353,79.7,85,68,3.6,broken clouds
318,Mountain Home,US,43.133,-115.6912,51.28,100,100,18.41,overcast clouds
319,Freeport,US,40.6576,-73.5832,71.11,66,0,20.71,clear sky
320,Barcelos,PT,41.5388,-8.6151,63.91,91,37,5.01,scattered clouds
321,Atbasar,KZ,51.8,68.3333,50.74,66,100,5.14,overcast clouds
322,Sosnovo-Ozerskoye,RU,52.5249,111.5418,26.76,85,34,3.85,scattered clouds
323,Jalu,LY,29.0331,21.5482,79.11,19,75,7.14,broken clouds
324,Batticaloa,LK,7.7102,81.6924,79.97,86,52,8.68,broken clouds
325,Surt,LY,31.2089,16.5887,63.19,79,30,18.12,scattered clouds
326,Changji,CN,44.0167,87.3167,52.59,16,0,15.66,clear sky
327,Sainte-Marie,RE,-20.8968,55.5496,77.16,82,75,19.57,broken clouds
328,Magadan,RU,59.5667,150.8,12.22,83,11,6.46,few clouds
329,Norman Wells,CA,65.282,-126.8329,10.44,48,20,5.75,few clouds
330,Kalnciems,LV,56.8011,23.6097,37.45,77,98,5.57,overcast clouds
331,Itoman,JP,26.1247,127.6694,66.22,63,0,5.75,clear sky
332,Mitsamiouli,KM,-11.3847,43.2844,82.36,76,38,5.1,scattered clouds
333,Mezhdurechensk,RU,53.6942,88.0603,35.83,95,14,3.36,few clouds
334,Ouadda,CF,8.0777,22.4007,81.23,41,73,4.05,broken clouds
335,Bad Schwalbach,DE,50.1333,8.0667,50.76,40,21,6.02,few clouds
336,Rundu,NA,-17.9333,19.7667,68.83,78,100,7.4,overcast clouds
337,Raha,IN,26.2333,92.5167,74.77,76,0,2.93,clear sky
338,Uruzgan,AF,32.8333,66.0,66.45,25,18,2.73,few clouds
339,Thinadhoo,MV,0.5333,72.9333,83.34,70,14,8.32,few clouds
340,High Level,CA,58.5169,-117.136,26.71,63,100,16.11,light snow
341,Conde,BR,-7.2597,-34.9075,85.46,70,20,11.5,few clouds
342,Faya,SA,18.3851,42.4509,68.11,44,4,3.83,clear sky
343,Nador,MA,35.174,-2.9287,66.45,59,0,1.14,clear sky
344,Bireun,ID,5.203,96.7009,79.79,83,80,1.63,broken clouds
345,Westport,US,41.1415,-73.3579,69.12,64,75,16.11,broken clouds
